WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,pH_robust,redox_potential_in_mV_robust,total_dissolved_solids_in_mmol/L_log_robust,O2_in_mmol/L_log_robust,Na_in_mmol/L_log_robust,Mg_in_mmol/L_log_robust,Ca_in_mmol/L_log_robust,Cl_in_mmol/L_log_robust,SO4_in_mmol/L_log_robust,HCO3_in_mmol/L_log_robust,Li_in_mmol/L_log_robust,K_in_mmol/L_log_robust,Sr_in_umol/L_log_robust,NH4_in_umol/L_log_robust,Fe_in_mmol/L_log_robust,Mn_in_mmol/L_log_robust,F_in_umol/L_log_robust,NO3_in_mmol/L_log_robust,H2SiO3_in_umol/L_log_robust,HS_in_mmol/L_robust
46.1968,8.5416,5,25.7,2.1799999999999997,,-0.8684108557924243,,-0.7150319798989249,-0.50984152883827,-0.43232155900314284,-0.823865605298869,0.1539109769534965,-1.0902359380061308,-0.45189689545650247,-0.455137709571363,,,,,0.3939781331862717,,,
46.24352,9.72534,5,37.9,1.4900000000000002,,-0.7346535188359595,,-0.5997263872552996,-0.5111799291248097,-0.34283472897617734,-0.7133344989761364,0.3794848977445846,-1.1139623093979598,-0.4496331050881091,-0.4198775337174862,,,,,,,,
45.76189,6.9689,5,22.3,0.4399999999999995,,-0.5953093606137286,,-0.7472082340512481,-0.03006479231243684,0.05646621651102635,-0.672593373645198,0.21653059518779688,-0.05278434712311824,-0.44061030667060036,-0.4261509646585521,,,,,-0.7070366283128046,,,
46.26274,8.10919,5,29.2,,,-0.5081215838759588,,-1.0652862073189124,0.012129403168165468,0.4612983334386791,-0.826395184435043,1.2185313948027987,-0.6635232530508023,,-0.43727393293328337,,,,,-0.7070366283128046,,,
46.26274,8.10919,5,38.6,0.33999999999999986,,-0.39262546865552345,,-1.0117287838455369,0.06960898980212413,0.6579121322254315,-0.826395184435043,1.53212599806229,-0.6764977511129151,,-0.43248414587845924,,,,,-0.7070366283128046,,,
44.20638889,7.269966667,5,63.0,2.0299999999999994,,-0.8204208808515928,,-0.6861293894645113,-0.5118769835631698,-0.5600258189305177,-0.6781774766974137,-0.20328878171504444,-0.9060619462183586,-0.4182766511066774,-0.40903946179402145,,,,,1.1746276289280273,,,
44.20638889,7.268888888999999,5,48.8,1.9399999999999995,,-0.8209916280923686,,-0.655570182940119,-0.50984152883827,-0.5813028908432574,-0.6630600236515208,-0.10078937157600772,-0.9623474418585946,,-0.40750548611240184,,,,,,,,
44.28861111,7.077744444,5,46.7,1.3100000000000005,,-0.18385897712268381,,-0.160268398705754,-0.5074393037295949,-0.18947344356400633,-0.05163601951158249,-0.38968437209015216,-1.0612692346232226,-0.06422351713525364,-0.1138080242988957,,,,,1.0953515900601445,,,
44.28861111,7.077744444,5,50.5,1.0399999999999991,,-0.19030705186769264,,-0.160268398705754,-0.5018682622674606,-0.12784970524070519,-0.058607323633317186,-0.27506740325809687,-1.1553422610750135,,-0.05177452608548227,,,,,,,,
44.28861111,7.077744444,5,55.2,1.709999999999999,,-0.4887126365792428,,-0.4127149380962879,-0.5121721154883901,-0.5406819405086644,-0.3151535813510434,-0.35945688538538756,-0.846649085696779,-0.30698223539543995,-0.3054368643539704,,,,,1.2508258997886423,,,
